gradient1,gradient2,gradient3,gradient4,gradient5
1.6209328,-0.053465355,0.2749327,0.20456545,-0.109154
0.7574067,0.42106885,0.097773574,0.16535807,-0.090594634
2.8796375,-0.049512703,-1.0359895,0.026033407,0.1949006
3.4439788,-0.08197371,-1.0428253,0.03633682,0.109253354
3.0730047,-0.004817581,-0.086807765,-0.07782687,-0.23272876
2.8408668,-0.2910306,-0.32656637,0.32087275,0.17928985
2.0202425,-0.021238543,-0.37833446,-0.023301851,-0.05694077
1.5043182,0.11331735,-0.59234494,0.044435512,0.1711986
-1.1503098,2.0159476,-0.5311007,-0.31573653,0.14435044
0.38512686,1.4017694,-0.83297753,-0.27273333,0.30424303
-2.1791725,2.9227042,-0.7173948,-0.08289553,-0.07044542
-1.6976188,2.1951132,-0.5085414,0.029893467,-0.16509287
-2.0868022,2.6444087,-0.5726828,0.15999264,-0.22759463
-1.5904149,1.965257,-0.45942062,0.17074135,-0.22904824
-0.9620961,2.0161417,-0.78334755,0.3280969,-0.05387463
-1.3079413,1.5320235,-0.29204786,0.2618589,-0.20860082
-0.7950999,0.9172402,-0.03336021,-0.30736136,0.004412461
-0.91403025,1.097288,-0.23360245,0.000216626,-0.07351942
-1.8050485,1.958521,-0.5032091,0.32949203,-0.2923091
-2.57201,2.683328,-0.7334541,0.4952289,-0.42046976
0.06822826,0.29291323,0.13474563,0.18865612,-0.14418767
-2.3682623,2.179469,-0.6890571,0.5592116,-0.32290354
-1.1543589,1.3502678,-0.24747394,0.3500874,-0.21646358
-1.070046,1.0356516,-0.3097167,-0.0695656,-0.004148549
-0.5462149,1.671821,-0.96388024,0.44845966,-0.1012816
-1.0372959,1.2878246,-0.15387508,0.10377359,-0.13170369
-2.3637743,2.1872714,-0.55145127,0.5782705,-0.32269973
-2.3941834,2.1953607,-0.65562713,0.57355005,-0.35382846
-0.44714817,0.9436619,0.021311786,0.31323355,-0.2753296
-1.3983121,1.6997275,-0.33853713,-0.045766097,-0.10781207
-1.3285075,1.459859,-0.36339614,0.20745048,-0.2086691
-2.3562722,2.2845972,-0.6647028,0.45931438,-0.36159354
-1.6133083,1.5895702,-0.43171397,0.28892896,-0.25168365
-1.549266,1.8191354,-0.4037201,0.13047303,-0.21359417
-1.1353168,1.5997089,-0.0618958,-0.24956301,-0.016772037
-1.9475487,1.8205189,-0.50222254,0.3107575,-0.27579007
-1.1262527,1.1639363,-0.29020843,0.14392792,-0.15782076
-2.070105,2.3872814,-0.39929938,-0.14734313,-0.18045765
-2.0883725,-0.9323055,-0.80516464,0.25167483,0.3843696
-1.3793236,-0.69178617,-1.1185781,0.057932533,0.47548077
-2.0977552,-0.8599584,-0.6396056,0.32807675,0.15182242
-3.367807,-1.504202,-0.49854863,0.3744955,0.05133009
-4.052753,-1.94523,-0.9345158,-0.17045973,-0.2585608
-3.6835072,-1.7294184,-0.85703284,0.27027085,-0.34193242
-2.0496895,-0.9192042,-0.69178927,0.2693321,0.1544347
-1.1540288,-0.36399862,-0.66853964,0.12203247,0.33791575
-3.1785953,-1.4922085,-0.7695582,0.16234376,-0.22544628
-3.143731,-1.4182296,-0.7965487,0.2030386,-0.20071915
-2.9177554,-1.3915823,-0.5945206,0.11612259,-0.057903346
-1.806755,-0.7896135,0.06977579,0.18186876,0.22575043
-2.7331836,-1.3431634,-0.62298644,-0.39151862,-0.32792458
-2.6746318,-1.3277705,-0.6278689,-0.11299737,-0.08361315
-1.9161769,-0.8520926,-0.23330475,-0.33285338,-0.030433629
-3.249206,-1.7168796,-1.0226609,-0.07390837,-0.3935971
